JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2423647.269,7.87,,,Vis.,ZGB,,NA,,NA,"""A7V3B,V3B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423647.332,7.95,,,Vis.,ZGB,,NA,,NA,VB,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423648.164,7.86,,,Vis.,ZGB,,NA,,NA,"""A6V4B,V3B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423649.314,7.94,,,Vis.,ZGB,,NA,,NA,V1-0B,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423650.266,8.00,,,Vis.,ZGB,,NA,,NA,"""B2-3V,B1V9G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423651.304,7.91,,,Vis.,ZGB,,NA,,NA,"""V1B,A9V1B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423652.343,8.01,,,Vis.,ZGB,,NA,,NA,"""B3V,B1-2V9-8G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423653.364,8.08,,,Vis.,ZGB,,NA,,NA,"""B5V,B3-4V7-6G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423656.383,8.09,,,Vis.,ZGB,,NA,,NA,"""B6V,B4V6G,A3-4B7-6G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423661.145,8.27,,,Vis.,ZGB,,NA,,NA,"""B8V2G,V3-4G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423662.138,8.28,,,Vis.,ZGB,,NA,,NA,"""B9-8V1-2G,V3-4G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423664.169,8.50,,,Vis.,ZGB,,NA,,NA,"""G7V,GVD""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423665.169,8.51,,,Vis.,ZGB,,NA,,NA,"""V7D,G6V,GVD""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423666.169,8.58,,,Vis.,ZGB,,NA,,NA,"""V6D,G6V4D""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423666.211,8.54,,,Vis.,ZGB,,NA,,NA,"""GVD,V7D""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423667.308,8.54,,,Vis.,ZGB,,NA,,NA,"""GVD,V7D""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423668.159,8.50,,,Vis.,ZGB,,NA,,NA,"""GVD,G6-7V""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423668.193,8.47,,,Vis.,ZGB,,NA,,NA,"""G3-4V7-6,G5V""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423669.183,8.56,,,Vis.,ZGB,,NA,,NA,"""V7D,G6V4D""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423670.161,8.44,,,Vis.,ZGB,,NA,,NA,"""G4V,G3V7D""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423672.155,7.82,,,Vis.,ZGB,,NA,,NA,"""AVB,V7B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423673.166,8.06,,,Vis.,ZGB,,NA,,NA,"""B3V7G,B5-4V""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423674.178,8.01,,,Vis.,ZGB,,NA,,NA,"""B3V,B1-2V9-8G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423675.301,7.98,,,Vis.,ZGB,,NA,,NA,B1-2V,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423676.281,7.95,,,Vis.,ZGB,,NA,,NA,"""BV,V3-4B,B3-4V""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423677.145,7.84,,,Vis.,ZGB,,NA,,NA,"""AVB,V5B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423677.279,7.81,,,Vis.,ZGB,,NA,,NA,"""A4V,A4-5V6-5B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423678.185,7.80,,,Vis.,ZGB,,NA,,NA,"""A5V,A4V6B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423680.150,7.78,,,Vis.,ZGB,,NA,,NA,"""A4V,A3-4V7-6B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423681.282,7.82,,,Vis.,ZGB,,NA,,NA,"""AVB,A5V,A4B6G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
